name,title,company,bio
Stephanie Thomas,Practice and Advisory Director,Associate Professor University of Arkansas,Leading practice and advisory initiatives for WISE.
Remington Reeves,Board Chair,University of Arkansas,Advisory board chair leading WISE strategic initiatives and vision.
Hannah Yong,Advisory Board Member,University of Arkansas,Passionate about advancing women's roles in supply chain excellence.
Nora Rolison,Advisory Board Member,Michigan State University,Dedicated to fostering professional development and mentorship opportunities.
Samata Luintel,Advisory Board Member,Mississippi State University,Committed to building networks and advancing supply chain excellence.
Allie Conzalez,Advisory Board Member,Western Michigan University,Advocating for women's leadership in supply chain management.
Erin Bath,Advisory Board Member,Colorado State University,Supporting WISE mission to empower women in supply chain.
Grace Hampton,Advisory Board Member,University of Oklahoma,Dedicated to professional growth and industry networking.
Morgan Haight,Advisory Board Member,Brigham Young University,Passionate about innovation and excellence in supply chain.
Libby Brewer,Advisory Board Member,North Carolina State University,Committed to creating opportunities for women leaders.
Layla Goudy,Advisory Board Member,North Carolina State University,Supporting WISE commitment to supply chain excellence.
Rupashi Gupta,Advisory Board Member,Indiana University,Advocating for women's advancement in supply chain careers.
