university,city,state,latitude,longitude,display_name
Auburn University,,,32.5919529,-85.4959775,"Auburn University, Auburn, Lee County, Alabama, 36849, United States"
Baylor University,,,31.5504341,-97.1102906,"Baylor University, 1301, South University Parks Drive, Waco, McLennan County, Texas, 76706, United States"
Brigham Young University,,,40.2554196,-111.6496806,"Brigham Young University, East 2550 North, Rock Canyon, Pleasant View, Provo, Utah County, Utah, 84602, United States"
Colorado State University,,,40.5706567,-105.0853995,"Colorado State University, Isotope Drive, Fort Collins, Larimer County, Colorado, 80523, United States"
Georgia Southern University,,,32.4214381,-81.7845053,"Georgia Southern University, Stadium Walk, Statesboro, Bulloch County, Georgia, 30460, United States"
Georgia Tech University,,,33.7760948,-84.3988077,"Georgia Tech, Atlantic Drive Northwest, Home Park, Atlanta, Fulton County, Georgia, 30332, United States"
Howard University,,,38.9218972,-77.0195931,"Howard University, 2400, 6th Street Northwest, Howard University, Columbia Heights, Ward 1, Washington, District of Columbia, 20059, United States"
Indiana University,,,39.1802358,-86.5093526,"Indiana University Bloomington, Range Road, Bloomington, Monroe County, Indiana, 47408, United States"
Iowa State University,,,42.0279608,-93.6447375,"Iowa State University, North Franklin Avenue, Ames, Story County, Iowa, 50011, United States"
Lehigh University,,,40.6068028,-75.3782488,"Lehigh University, Library Drive, South Bethlehem, Bethlehem, Northampton County, Pennsylvania, 18015, United States"
Michigan State University,,,42.7023794,-84.4803869,"Michigan State University, 426, Auditorium Road, North Neighborhood, East Lansing, Ingham County, Michigan, 48824, United States"
Mississippi State University,,,33.4386876,-88.7943232,"Mississippi State University, 75, South Rosebud Lane, Greenbriar, Starkville, Oktibbeha County, Mississippi, 39762, United States"
North Carolina State University,,,35.7718497,-78.6740870,"North Carolina State University, Claude E. Pope Memorial Highway, Raleigh, Wake County, North Carolina, 27695, United States"
Northeastern University,,,42.3351065,-71.0892575,"Northeastern University, 360, Huntington Avenue, Fenway-Kenmore, Boston, Suffolk County, Massachusetts, 02115, United States"
Ohio State University,,,40.0056982,-83.0286573,"The Ohio State University, 281, West Lane Avenue, Carmenton, Columbus, Sharon, Franklin County, Ohio, 43210, United States"
The Citadel,,,32.7963982,-79.9611833,"The Citadel, 171, Moultrie Street, Hampton Park Terrace, West Side, Charleston, Charleston County, South Carolina, 29409, United States"
University of Arkansas,,,36.0970389,-94.1703322,"University of Arkansas, South Razorback Road, Fayetteville, Washington County, Arkansas, 72701, United States"
University of Central Arkansas,,,35.0776410,-92.4579926,"University of Central Arkansas, 201, Donaghey Avenue, Conway, Faulkner County, Arkansas, 72035, United States"
University of Kansas,,,38.9535052,-95.2630930,"University of Kansas, 1450, Jayhawk Boulevard, Lawrence, Douglas County, Kansas, 66045, United States"
University of Oklahoma,,,35.1959878,-97.4457083,"University of Oklahoma, 660, Parrington Oval, Norman, Cleveland County, Oklahoma, 73019, United States"
University of South Florida,,,28.0599999,-82.4138362,"University of South Florida, 4202, East Fowler Avenue, Tampa, Hillsborough County, Florida, 33620, United States"
University of Wisconsin - Madison,,,43.0802745,-89.4309587,"University of Wisconsin-Madison, Speedway Road, Regent, Madison, Dane County, Wisconsin, 53726, United States"
Virginia Commonwealth University,,,37.5461246,-77.4540609,"Virginia Commonwealth University, 907, Floyd Avenue, Richmond, Virginia, 23284, United States"
Western Michigan University,,,42.2832928,-85.6102812,"Western Michigan University, 1903, West Michigan Avenue, West Main Hill, Kalamazoo, Kalamazoo County, Michigan, 49008, United States"
